strategy,mean_delay,median_delay,p95_delay,failure_rate,n
single_rpc,18.0,18.0,18.0,0.0,2
round_robin,22.5,22.5,26.55,0.0,2
lowest_latency,18.0,18.0,18.0,0.0,2
freshest_block,18.0,18.0,18.0,0.0,2
